id,documentation,thriller,sport,history,scifi,european,romance,horror,war,action,crime,reality,animation,family,drama,fantasy,comedy,western,music
tm256669,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm64729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm184224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm25389,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
tm34391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm44776,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
tm334788,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
tm117840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm42397,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
tm314602,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
tm255589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm7810,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm210754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm449775,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ts4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts20371,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
ts9,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
ts21465,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
tm74402,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tm91952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts288536,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ts12724,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts6644,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
ts8308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm111828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts21469,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ts17156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts22011,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ts26091,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm150112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ts22337,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
ts3371,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
tm80906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ts20604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ts20573,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tm92641,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
ts22099,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
tm27911,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ts21464,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
tm88465,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tm172683,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ts11313,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
ts21247,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
ts20305,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
tm42877,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
tm39030,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
ts21511,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1
tm997728,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ts17942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
tm89677,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm78592,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm105329,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts30311,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1
tm139658,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
tm26327,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
tm95477,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
tm154187,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ts22267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tm133767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ts2230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tm45454,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
tm26897,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tm133374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm195620,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
tm136808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm70807,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ts19036,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
tm93055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
tm85811,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
ts22456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tm101914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm131038,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
tm58382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm35463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm30603,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0
ts22018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
tm20959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
tm136308,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
tm29737,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
tm148270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm89036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm46436,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ts21197,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
ts21544,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0
tm150260,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0
ts31263,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ts30313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
tm79895,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
