id,imdb_id,imdb_score,imdb_votes,tmdb_score,tmdb_popularity
tm93055,tt1375670,5.9,253512,7.0,98.37
tm85811,tt0265208,6.7,226209,6.0,37.315
ts22456,tt0405576,7.4,18153,0.0,33.115
tm101914,,,,6.5,17.007
tm131038,tt1152836,7.0,304429,6.7,85.039
tm58382,tt0277371,5.7,106961,5.8,36.438
tm35463,tt0221027,7.5,261743,5.5,24.348
tm30603,tt0448157,6.4,483322,6.33,121.985
ts22018,tt0972534,6.7,39992,5.0,100.996
tm20959,tt0454921,8.0,511512,7.9,47.893
tm136308,tt0340855,7.3,152812,7.2,16.309
tm29737,tt0462499,7.0,232982,6.7,72.224
tm148270,tt0337741,6.7,122862,6.6,14.619
tm89036,tt0366551,7.0,197234,6.5,15.026
tm46436,tt0245674,5.6,88452,5.5,50.592
ts21197,tt1199099,7.9,82433,0.0,74.931
ts21544,tt1659175,7.9,6886,7.1,28.925
tm150260,tt0844471,6.9,234251,6.6,58.945
ts31263,tt0270792,7.7,1235,0.0,2.189
ts30313,tt1530541,8.3,5065,0.0,10.243
tm79895,tt0373883,6.0,123460,6.2,38.491
ts12787,tt0994314,8.7,68730,0.0,35.011
tm116324,tt0322802,6.6,95957,6.3,25.23
tm39828,tt0839980,5.8,83203,6.9,12.789
tm23935,tt0410297,6.8,150729,7.0,16.31
tm78067,tt0830558,6.5,26819,7.3,13.131
tm95252,tt1037705,6.8,319512,6.8,30.476
tm32919,tt0450259,8.0,549943,7.5,47.39
tm169949,tt0425123,6.7,111000,6.9,17.486
tm30205,tt1220719,8.0,224537,5.3,21.074
tm40009,tt0478087,6.8,253066,4.0,27.013
tm141390,tt0758746,5.5,109213,0.0,45.551
ts35155,tt0948103,8.3,18482,6.0,27.924
tm94606,tt1228987,7.1,122627,8.7,22.791
ts15986,tt1285482,7.6,20024,0.0,9.68
tm102337,tt1179056,5.2,101878,6.4,39.672
ts22318,tt7396266,6.1,7132,0.0,25.633
tm159901,tt0385307,5.1,75938,5.7,21.495
tm74780,tt0825232,7.4,247006,7.2,22.0
ts30356,tt1710177,7.6,1151,4.0,40.327
ts32186,tt0367413,6.2,4830,0.0,37.945
tm24088,tt0362120,5.1,122495,5.5,83.018
tm111600,tt0253867,5.1,59486,5.5,10.625
tm88045,tt1341188,5.4,51296,5.251,9.889
tm78919,tt0453451,6.4,127121,0.0,32.512
tm173066,tt0373926,6.4,107955,7.8,12.694
tm118637,tt0251160,7.1,135337,7.121,32.229
tm142564,tt1187043,8.4,399802,8.0,44.999
tm57190,tt0267804,5.9,92811,4.3,21.223
ts21706,tt0491603,7.2,15724,0.0,30.832
tm137362,tt0324216,6.2,144176,4.3,80.47
ts24028,tt0281491,8.9,8025,4.0,5.128
tm148379,tt0312528,4.0,83581,5.3,66.8
tm137342,tt0314353,6.6,123391,6.797,43.254
tm90864,tt1231583,6.5,344793,6.3,36.06
ts21740,tt1316554,7.7,8238,7.5,36.122
tm32144,tt0758794,7.0,62213,6.4,13.173
tm141707,tt0346631,6.7,34010,7.0,33.787
tm150214,tt0329101,5.7,120742,9.0,65.747
tm81030,tt0385752,6.1,189179,5.7,20.255
ts687,tt0389564,7.3,45571,3.5,37.169
tm147211,tt1234548,6.2,133174,6.3,19.022
ts31514,tt1190823,5.2,399,5.0,31.584
ts33559,tt0983983,8.2,14808,0.0,31.375
tm78671,tt0896798,6.1,43478,5.0,11.509
ts26322,tt1279024,8.0,15753,0.0,24.352
ts12815,tt1131746,6.4,12649,0.0,55.706
tm27268,tt0385880,6.6,122142,6.6,51.891
tm86189,tt0452625,5.6,91095,5.1,30.423
tm700,tt0443649,5.1,131833,6.3,24.671
tm101249,tt1385867,5.5,88566,6.3,13.63
tm161263,tt0402901,5.1,39348,10.0,13.695
tm81270,tt0335438,6.1,148371,6.9,13.938
tm89684,tt0363282,4.9,23794,3.8,11.818
tm165593,tt0398375,5.5,58956,5.6,13.521
tm112381,tt0328962,6.9,7055,6.7,4.854
tm39487,tt0395495,5.9,27231,5.9,9.435
ts23752,tt1882928,8.6,2427,10.0,7.356
tm43399,tt0169102,8.1,114904,3.3,10.097
ts21421,tt0487849,7.3,1688,7.6,27.339
ts22005,tt1173427,7.4,11483,0.0,16.655
ts20398,tt0272397,8.4,4445,0.0,3.926
tm186461,,,,6.3,7.58
tm29555,tt0436331,5.8,30901,3.5,11.86
tm103095,tt1386932,7.5,105813,0.0,4.516
tm97070,tt1055292,6.5,133068,6.5,40.534
tm101334,tt1321509,5.7,50761,5.3,15.989
tm183963,tt0418647,6.8,13407,5.3,10.235
tm76428,,,,0.0,28.197
tm77649,tt0477071,5.9,79192,6.7,14.21
tm86924,tt0367085,4.5,23360,5.3,21.864
ts98340,tt6954486,7.5,19370,10.0,0.893
tm26638,tt0420294,5.8,73836,7.4,57.763
tm78189,,,,5.0,15.026
ts20544,tt0816397,8.2,10313,0.0,18.186
ts23835,tt1884856,7.5,3264,6.9,38.171
tm104880,tt1421373,8.3,12265,6.1,5.717
ts30288,tt1587790,7.7,1417,0.0,10.936
ts38159,tt1807824,8.1,1588,0.0,19.736
tm22294,tt0790604,5.0,28413,5.5,11.999
tm100015,tt1135084,6.2,63240,6.228,15.872
ts25765,tt1209393,7.3,5360,0.0,17.547
ts21688,tt1370334,7.8,12356,8.28,80.384
tm83786,tt0986264,8.3,193811,6.2,17.66
tm130574,tt1314228,4.9,40950,5.4,12.459
tm114476,tt0243585,5.5,54921,7.0,36.691
ts20535,tt1470837,5.4,2685,0.0,25.677
ts1893,tt1436544,7.5,1329,6.6,11.735
tm118462,tt0297162,4.6,15962,7.5,12.906
ts12701,tt0417311,7.3,5299,0.0,9.597
ts121176,tt6950338,6.5,381,0.0,5.014
tm86995,tt0388419,5.4,50027,5.0,17.708
ts20526,tt0772137,6.8,4528,0.0,12.124
ts23808,tt1422182,8.1,1799,0.0,2.422
tm97544,tt1213012,5.1,14531,4.8,13.523
ts31593,tt3968668,6.3,95,0.0,4.404
ts27459,tt1059455,6.8,1484,0.0,21.479
ts3666,tt1033796,7.9,914,0.0,13.045
tm53999,,,,6.0,18.558
tm164557,tt5320634,6.3,8678,2.0,18.607
tm80059,tt0988982,6.7,4213,7.1,316.471
tm135451,tt1295085,7.6,11491,5.5,43.409
tm71558,tt1003009,6.1,538,5.6,47.66
tm134235,tt1485763,7.5,5866,4.7,39.946
tm160800,tt0402910,6.4,55340,6.3,17.029
tm22342,tt0456020,5.8,10133,7.1,15.58
ts42914,tt2046005,6.8,708,7.5,19.476
tm22636,tt0425601,7.1,13038,6.7,6.191
ts21967,tt0454349,5.1,8519,0.0,22.516
tm85549,tt0417202,7.2,3296,6.5,1.814
tm100688,tt1422032,7.4,13686,5.9,8.526
tm22493,tt0865482,7.6,1856,4.3,3.787
ts14102,tt1516172,4.2,135,0.0,1.52
tm103732,tt1639426,8.1,45316,6.6,5.019
tm73058,tt1423972,7.0,25,6.0,11.847
tm138497,tt1337032,7.3,7563,8.0,4.683
ts20358,tt0320024,7.1,1910,0.0,8.06
tm36475,tt0248126,7.4,50494,7.9,13.699
tm144345,tt0347304,7.9,69931,0.0,12.001
tm76835,tt1093370,7.9,53674,5.7,8.69
tm38896,tt1673402,5.6,7650,4.3,7.282
tm86051,tt0400234,8.4,21125,0.0,5.753
ts74931,tt6963796,7.1,82,6.9,
tm29269,tt0449994,7.5,32969,6.6,11.959
ts17028,tt1524993,5.7,772,0.0,28.909
tm91046,tt1764141,7.4,4488,7.7,4.431
tm75022,tt0804558,7.2,4030,7.0,4.43
tm41508,tt0486578,4.5,11048,6.8,8.809
ts67595,tt0283770,7.6,350,7.3,32.626
tm49405,tt0322645,7.2,2634,6.0,36.262
tm82765,tt0367110,8.2,91161,5.5,10.352
tm33981,tt0443521,6.6,61,6.4,7.956
ts52849,tt0985991,6.4,998,0.0,2.36
tm95238,tt1451423,5.9,3458,6.4,17.774
tm32885,tt0405508,8.1,119346,7.2,6.848
ts72322,tt1585368,6.6,311,0.0,27.667
ts63295,tt0459724,8.8,1092,0.0,1.41
ts23319,tt1125758,6.8,1146,0.0,14.959
ts21695,tt1757202,7.7,2086,0.0,9.239
tm72587,tt0499375,7.7,24050,5.2,8.071
tm99776,tt1659261,6.3,949,5.3,2.718
tm83175,tt0488798,7.0,22968,0.0,8.815
tm139349,tt1390471,7.7,2597,5.2,4.283
tm59880,tt1188112,7.6,1803,0.0,3.826
ts56589,tt3270208,5.3,159,0.0,4.871
tm61056,tt0292490,8.1,72629,6.0,5.704
